"VARELEMTID","VARELEMENT","ELEMTYPEID","SYMMETRYID","PORTIONID","MATURITYID","CREATED_AT","UPDATED_AT"
656,"arolia",584,NA,NA,NA,"2024-04-12 14:28:07.041 +0200",NA
657,"lacinia",585,NA,NA,NA,"2024-04-12 14:28:07.041 +0200",NA
658,"carapace",509,NA,NA,NA,"2024-04-12 14:28:07.041 +0200",NA
659,"m/z = 1018",586,NA,NA,NA,"2024-04-12 14:28:07.041 +0200",NA
660,"m/z = 1020",587,NA,NA,NA,"2024-04-12 14:28:07.041 +0200",NA
661,"m/z = 1022",588,NA,NA,NA,"2024-04-12 14:28:07.041 +0200",NA
662,"m/z = 1032",589,NA,NA,NA,"2024-04-12 14:28:07.041 +0200",NA
663,"m/z = 1034",590,NA,NA,NA,"2024-04-12 14:28:07.041 +0200",NA
664,"m/z = 1036",591,NA,NA,NA,"2024-04-12 14:28:07.041 +0200",NA
665,"m/z = 1046",592,NA,NA,NA,"2024-04-12 14:28:07.041 +0200",NA
666,"m/z = 1048",593,NA,NA,NA,"2024-04-12 14:28:07.041 +0200",NA
667,"m/z = 1050",594,NA,NA,NA,"2024-04-12 14:28:07.041 +0200",NA
668,"m/z = 1292",595,NA,NA,NA,"2024-04-12 14:28:07.041 +0200",NA
669,"m/z = 1302",596,NA,NA,NA,"2024-04-12 14:28:07.041 +0200",NA
670,"number",598,NA,NA,NA,"2024-04-12 14:28:07.041 +0200",NA
671,"microfragment",556,NA,NA,NA,"2024-04-12 14:28:07.041 +0200",NA
672,"non-pollen palynomorph",549,NA,NA,NA,"2024-04-12 14:28:07.041 +0200",NA
673,">150 µm",600,NA,NA,NA,"2024-04-12 14:28:07.041 +0200",NA
674,"sclerotium",601,NA,NA,NA,"2024-04-12 14:28:07.041 +0200",NA
675,"mounted volume",599,NA,NA,NA,"2024-04-12 14:28:07.041 +0200",NA
676,">500 µm",612,NA,NA,NA,"2024-04-12 14:28:07.041 +0200",NA
677,"feather",613,NA,NA,NA,"2024-04-12 14:28:07.041 +0200",NA
678,"blood residue",614,NA,NA,NA,"2024-04-12 14:28:07.041 +0200",NA
679,"960°C",616,NA,NA,NA,"2024-04-12 14:28:07.041 +0200",NA
680,"LOI estimated",615,NA,NA,NA,"2024-04-12 14:28:07.041 +0200",NA
681,"particle",561,NA,NA,NA,"2024-04-12 14:28:07.041 +0200",NA
682,"entire",494,NA,NA,NA,"2024-04-12 14:28:07.041 +0200",NA
683,"needle; fragment",246,NA,7,NA,"2024-04-12 14:28:07.041 +0200",NA
684,"molybdenum anode tube",619,NA,NA,NA,"2024-04-12 14:28:07.041 +0200",NA
685,"bulk sediment",620,NA,NA,NA,"2024-04-12 14:28:07.041 +0200",NA
686,"tooth/tusk",625,NA,NA,NA,"2024-04-12 14:28:07.041 +0200",NA
689,"skeleton",454,NA,NA,NA,"2024-04-12 14:28:07.041 +0200",NA
690,"log",628,NA,NA,NA,"2024-04-12 14:28:07.041 +0200",NA
691,"spore mass",629,NA,NA,NA,"2024-04-12 14:28:07.041 +0200",NA
692,"egg/remains",633,NA,NA,NA,"2024-04-12 14:28:07.041 +0200",NA
693,">125 µm, grass",634,NA,NA,NA,"2024-04-12 14:28:07.041 +0200",NA
694,"trace fossil",635,NA,NA,NA,"2024-04-12 14:28:07.041 +0200",NA
695,">200 µm",636,NA,NA,NA,"2024-04-12 14:28:07.041 +0200",NA
696,">600 µm",637,NA,NA,NA,"2024-04-12 14:28:07.041 +0200",NA
697,"floral bract",638,NA,NA,NA,"2024-04-12 14:28:07.041 +0200",NA
698,"fid",639,NA,NA,NA,"2024-04-12 14:28:07.041 +0200",NA
699,"rhizome",641,NA,NA,NA,"2024-04-12 14:28:07.041 +0200",NA
700,"tracheid",618,NA,NA,NA,"2024-04-12 14:28:07.041 +0200",NA
701,"perforation plate, scalariform",642,NA,NA,NA,"2024-04-12 14:28:07.041 +0200",NA
702,"10-150 µm",649,NA,NA,NA,"2024-04-12 14:28:07.041 +0200",NA
703,"2-150 µm",650,NA,NA,NA,"2024-04-12 14:28:07.041 +0200",NA
704,"30-60 µm",647,NA,NA,NA,"2024-04-12 14:28:07.041 +0200",NA
705,"60-150 µm",648,NA,NA,NA,"2024-04-12 14:28:07.041 +0200",NA
706,"<30 µm",646,NA,NA,NA,"2024-04-12 14:28:07.041 +0200",NA
707,"metatarsal, third",278,NA,NA,NA,"2024-04-12 14:28:07.041 +0200",NA
708,"osteoderm",652,NA,NA,NA,"2024-04-12 14:28:07.041 +0200",NA
709,"epidermal scale",653,NA,NA,NA,"2024-04-12 14:28:07.041 +0200",NA
710,"metacarpal, fifth",273,NA,NA,NA,"2024-04-12 14:28:07.041 +0200",NA
711,"10-50 µm",654,NA,NA,NA,"2024-04-12 14:28:07.041 +0200",NA
712,"50-180 µm",655,NA,NA,NA,"2024-04-12 14:28:07.041 +0200",NA
713,"stylet muscle 3 (M3)",658,NA,NA,NA,"2024-04-12 14:28:07.041 +0200",NA
714,"stylet muscle 5 (M5)",659,NA,NA,NA,"2024-04-12 14:28:07.041 +0200",NA
715,"stylet muscle 6 (M6)",660,NA,NA,NA,"2024-04-12 14:28:07.041 +0200",NA
716,"1960-3920 µm^2",665,NA,NA,NA,"2024-04-12 14:28:07.041 +0200",NA
717,"3920-7840 µm^2",666,NA,NA,NA,"2024-04-12 14:28:07.041 +0200",NA
718,"7840-15680 µm^2",667,NA,NA,NA,"2024-04-12 14:28:07.041 +0200",NA
719,"980-1960 µm^2",668,NA,NA,NA,"2024-04-12 14:28:07.041 +0200",NA
720,">15680 µm^2",669,NA,NA,NA,"2024-04-12 14:28:07.041 +0200",NA
721,"massulae",548,NA,NA,NA,"2024-04-12 14:28:07.041 +0200",NA
723,"shoot, dwarf",671,NA,NA,NA,"2024-04-12 14:28:07.041 +0200",NA
725,"periderm",673,NA,NA,NA,"2024-04-12 14:28:07.041 +0200",NA
726,"cypsela",657,NA,NA,NA,"2024-04-12 14:28:07.041 +0200",NA
727,"dehiscence cap",675,NA,NA,NA,"2024-04-12 14:28:07.041 +0200",NA
728,"exocarp",674,NA,NA,NA,"2024-04-12 14:28:07.041 +0200",NA
729,"pinnule",676,NA,NA,NA,"2024-04-12 14:28:07.041 +0200",NA
730,"ephippia",677,NA,NA,NA,"2024-04-12 14:28:07.041 +0200",NA
734,"root; root",681,NA,41,NA,"2024-04-12 14:28:07.041 +0200",NA
735,"2200-20000 µm^2",682,NA,NA,NA,"2024-04-12 14:28:07.041 +0200",NA
736,"375-2200 µm^2",683,NA,NA,NA,"2024-04-12 14:28:07.041 +0200",NA
737,"75-375 µm^2",684,NA,NA,NA,"2024-04-12 14:28:07.041 +0200",NA
738,">20000 µm^2",685,NA,NA,NA,"2024-04-12 14:28:07.041 +0200",NA
740,"root",681,NA,NA,NA,"2024-04-12 14:28:07.041 +0200",NA
741,"phalanx, first; complete",687,NA,3,NA,"2024-04-12 14:28:07.041 +0200",NA
742,"head capsule; larva",362,NA,NA,12,"2024-04-12 14:28:07.041 +0200",NA
743,"elytron/head/pronotum",688,NA,NA,NA,"2024-04-12 14:28:07.041 +0200",NA
744,"head/prothorax",689,NA,NA,NA,"2024-04-12 14:28:07.041 +0200",NA
745,"prothorax",690,NA,NA,NA,"2024-04-12 14:28:07.041 +0200",NA
746,"stem/rhizome",691,NA,NA,NA,"2024-04-12 14:28:07.041 +0200",NA
747,"stipe",693,NA,NA,NA,"2024-04-12 14:28:07.041 +0200",NA
748,"utricle",692,NA,NA,NA,"2024-04-12 14:28:07.041 +0200",NA
749,"seed capsule",694,NA,NA,NA,"2024-04-12 14:28:07.041 +0200",NA
750,"chelicera",702,NA,NA,NA,"2024-04-12 14:28:07.041 +0200",NA
751,"gaster",701,NA,NA,NA,"2024-04-12 14:28:07.041 +0200",NA
752,"head/prothorax/scutellum",696,NA,NA,NA,"2024-04-12 14:28:07.041 +0200",NA
753,"head/prothorax/wing",697,NA,NA,NA,"2024-04-12 14:28:07.041 +0200",NA
754,"prothorax/wing",698,NA,NA,NA,"2024-04-12 14:28:07.041 +0200",NA
755,"terminalia",700,NA,NA,NA,"2024-04-12 14:28:07.041 +0200",NA
756,"various elements",699,NA,NA,NA,"2024-04-12 14:28:07.041 +0200",NA
757,"pericarp",707,NA,NA,NA,"2024-04-12 14:28:07.041 +0200",NA
758,"sorus",705,NA,NA,NA,"2024-04-12 14:28:07.041 +0200",NA
759,"sporangium, large",703,NA,NA,NA,"2024-04-12 14:28:07.041 +0200",NA
760,"sporangium, small",704,NA,NA,NA,"2024-04-12 14:28:07.041 +0200",NA
761,"syncarp",706,NA,NA,NA,"2024-04-12 14:28:07.041 +0200",NA
762,"forceps",708,NA,NA,NA,"2024-04-12 14:28:07.041 +0200",NA
763,"bone and tooth",710,NA,NA,NA,"2024-04-12 14:28:07.041 +0200",NA
764,"legume",711,NA,NA,NA,"2024-04-12 14:28:07.041 +0200",NA
765,"calyx",401,NA,NA,NA,"2024-04-12 14:28:07.041 +0200",NA
766,"pappus",712,NA,NA,NA,"2024-04-12 14:28:07.041 +0200",NA
767,"areole/spine",714,NA,NA,NA,"2024-04-12 14:28:07.041 +0200",NA
768,"branch",713,NA,NA,NA,"2024-04-12 14:28:07.041 +0200",NA
769,"bud/needle",715,NA,NA,NA,"2024-04-12 14:28:07.041 +0200",NA
770,"needle/seed",311,NA,NA,NA,"2024-04-12 14:28:07.041 +0200",NA
771,"remain",716,NA,NA,NA,"2024-04-12 14:28:07.041 +0200",NA
772,"shoot, short",717,NA,NA,NA,"2024-04-12 14:28:07.041 +0200",NA
773,"invertebrate undiff.",718,NA,NA,NA,"2024-04-12 14:28:07.041 +0200",NA
774,"amerospore",733,NA,NA,NA,"2024-04-12 14:28:07.041 +0200",NA
775,"7-180 µm",736,NA,NA,NA,"2024-04-12 14:28:07.041 +0200",NA
776,"long bone",412,NA,NA,NA,"2024-04-12 14:28:07.041 +0200",NA
777,"catkin, staminate",463,NA,NA,NA,"2024-04-12 14:28:07.041 +0200",NA
778,">45 µm",738,NA,NA,NA,"2024-04-12 14:28:07.041 +0200",NA
779,"<40 µm",541,NA,NA,NA,"2024-04-12 14:28:07.041 +0200",NA
780,">40 µm",542,NA,NA,NA,"2024-04-12 14:28:07.041 +0200",NA
781,">125 µm, arboreal",743,NA,NA,NA,"2024-04-12 14:28:07.041 +0200",NA
782,"seed pod",744,NA,NA,NA,"2024-04-12 14:28:07.041 +0200",NA
783,"5-250 µm",745,NA,NA,NA,"2024-04-12 14:28:07.041 +0200",NA
784,"180-250 µm",746,NA,NA,NA,"2024-04-12 14:28:07.041 +0200",NA
785,"10-100 μm",747,NA,NA,NA,"2024-04-12 14:28:07.041 +0200",NA
786,"opening diameter",749,NA,NA,NA,"2024-04-12 14:28:07.041 +0200",NA
787,"<150 µm",751,NA,NA,NA,"2024-04-12 14:28:07.041 +0200",NA
788,"batch number",748,NA,NA,NA,"2024-04-12 14:28:07.041 +0200",NA
789,"frozen carcass",752,NA,NA,NA,"2024-04-12 14:28:07.041 +0200",NA
790,">1 mm",758,NA,NA,NA,"2024-04-12 14:28:07.041 +0200",NA
791,">2 mm",759,NA,NA,NA,"2024-04-12 14:28:07.041 +0200",NA
792,"case",760,NA,NA,NA,"2024-04-12 14:28:07.041 +0200",NA
793,"leaf scar",761,NA,NA,NA,"2024-04-12 14:28:07.041 +0200",NA
794,"microsporophyll",762,NA,NA,NA,"2024-04-12 14:28:07.041 +0200",NA
796,"catkin bract",764,NA,NA,NA,"2024-04-12 14:28:07.041 +0200",NA
797,"node",765,NA,NA,NA,"2024-04-12 14:28:07.041 +0200",NA
798,"ovule scale",766,NA,NA,NA,"2024-04-12 14:28:07.041 +0200",NA
799,"plant case",767,NA,NA,NA,"2024-04-12 14:28:07.041 +0200",NA
800,"stone case",768,NA,NA,NA,"2024-04-12 14:28:07.041 +0200",NA
801,"arcellinida case",769,NA,NA,NA,"2024-04-12 14:28:07.041 +0200",NA
802,"bark/needle base",770,NA,NA,NA,"2024-04-12 14:28:07.041 +0200",NA
803,"leaf vein",771,NA,NA,NA,"2024-04-12 14:28:07.041 +0200",NA
804,"twig, with bark",772,NA,NA,NA,"2024-04-12 14:28:07.041 +0200",NA
805,"organic",773,NA,NA,NA,"2024-04-12 14:28:07.041 +0200",NA
806,">63 µm",774,NA,NA,NA,"2024-04-12 14:28:07.041 +0200",NA
807,"<35 µm",755,NA,NA,NA,"2024-04-12 14:28:07.041 +0200",NA
808,">35 µm",757,NA,NA,NA,"2024-04-12 14:28:07.041 +0200",NA
809,"10-160 µm",754,NA,NA,NA,"2024-04-12 14:28:07.041 +0200",NA
810,">160 µm",756,NA,NA,NA,"2024-04-12 14:28:07.041 +0200",NA
811,"sterigma",779,NA,NA,NA,"2024-04-12 14:28:07.041 +0200",NA
812,"leaf; fragment",290,NA,7,NA,"2024-04-12 14:28:07.041 +0200",NA
813,"10-250 µm",782,NA,NA,NA,"2024-04-12 14:28:07.041 +0200",NA
814,"5-100 µm",753,NA,NA,NA,"2024-04-12 14:28:07.041 +0200",NA
815,"ivory",784,NA,NA,NA,"2024-04-12 14:28:07.041 +0200",NA
816,"conidiophore",783,NA,NA,NA,"2024-04-12 14:28:07.041 +0200",NA
817,"feces",785,NA,NA,NA,"2024-04-12 14:28:07.041 +0200",NA
818,"radius/ulna",388,NA,NA,NA,"2024-04-12 14:28:07.041 +0200",NA
819,"20-50 µm",786,NA,NA,NA,"2024-04-12 14:28:07.041 +0200",NA
820,"<20 µm",787,NA,NA,NA,"2024-04-12 14:28:07.041 +0200",NA
821,"chlamydospore",563,NA,NA,NA,"2024-04-12 14:28:07.041 +0200",NA
822,"postabdomen, male",569,NA,NA,NA,"2024-04-12 14:28:07.041 +0200",NA
823,"capsule, cap",788,NA,NA,NA,"2024-04-12 14:28:07.041 +0200",NA
824,"perigynium/seed",789,NA,NA,NA,"2024-04-12 14:28:07.041 +0200",NA
825,"spindle",790,NA,NA,NA,"2024-04-12 14:28:07.041 +0200",NA
826,"biogenic silica",791,NA,NA,NA,"2024-04-12 14:28:07.041 +0200",NA
827,"bud/bud scale",792,NA,NA,NA,"2024-04-12 14:28:07.041 +0200",NA
828,"scar tree",793,NA,NA,NA,"2024-04-12 14:28:07.041 +0200",NA
829,"branchlet",520,NA,NA,NA,"2024-04-12 14:28:07.041 +0200",NA
830,"catkin",461,NA,NA,NA,"2024-04-12 14:28:07.041 +0200",NA
831,"cone scale",804,NA,NA,NA,"2024-04-12 14:28:07.041 +0200",NA
832,"female catkin",802,NA,NA,NA,"2024-04-12 14:28:07.041 +0200",NA
833,"male catkin",803,NA,NA,NA,"2024-04-12 14:28:07.041 +0200",NA
834,"ascocarp",NA,NA,NA,NA,"2024-04-12 14:28:07.041 +0200",NA
835,"parenchyma cell",NA,NA,NA,NA,"2024-04-12 14:28:07.041 +0200",NA
836,"hyphopodium",NA,NA,NA,NA,"2024-04-12 14:28:07.041 +0200",NA
837,"150-1000 µm",NA,NA,NA,NA,"2024-04-12 14:28:07.041 +0200",NA
838,"50-150 µm",NA,NA,NA,NA,"2024-04-12 14:28:07.041 +0200",NA
839,">1000 µm",NA,NA,NA,NA,"2024-04-12 14:28:07.041 +0200",NA
840,"melaleuca quinquenervia",NA,NA,NA,NA,"2024-04-12 14:28:07.041 +0200",NA
841,"bulk",NA,NA,NA,NA,"2024-04-12 14:28:07.041 +0200",NA
842,"coenobium",NA,NA,NA,NA,"2024-04-12 14:28:07.041 +0200",NA
843,"base cell",NA,NA,NA,NA,"2024-04-12 14:28:07.041 +0200",NA
844,"12-16 µm",NA,NA,NA,NA,"2024-04-12 14:28:07.041 +0200",NA
845,"16-20 µm",NA,NA,NA,NA,"2024-04-12 14:28:07.041 +0200",NA
846,"20-24 µm",NA,NA,NA,NA,"2024-04-12 14:28:07.041 +0200",NA
847,"24-28 µm",NA,NA,NA,NA,"2024-04-12 14:28:07.041 +0200",NA
848,"28-32 µm",NA,NA,NA,NA,"2024-04-12 14:28:07.041 +0200",NA
849,"32-36 µm",NA,NA,NA,NA,"2024-04-12 14:28:07.041 +0200",NA
850,"36-40 µm",NA,NA,NA,NA,"2024-04-12 14:28:07.041 +0200",NA
851,"40-44 µm",NA,NA,NA,NA,"2024-04-12 14:28:07.041 +0200",NA
852,"48-52 µm",NA,NA,NA,NA,"2024-04-12 14:28:07.041 +0200",NA
853,"52-56 µm",NA,NA,NA,NA,"2024-04-12 14:28:07.041 +0200",NA
854,"56-60 µm",NA,NA,NA,NA,"2024-04-12 14:28:07.041 +0200",NA
855,"60-64 µm",NA,NA,NA,NA,"2024-04-12 14:28:07.041 +0200",NA
856,"68-72 µm",NA,NA,NA,NA,"2024-04-12 14:28:07.041 +0200",NA
857,"72-76 µm",NA,NA,NA,NA,"2024-04-12 14:28:07.041 +0200",NA
858,"76-80 µm",NA,NA,NA,NA,"2024-04-12 14:28:07.041 +0200",NA
859,"8-12 µm",NA,NA,NA,NA,"2024-04-12 14:28:07.041 +0200",NA
860,"80-84 µm",NA,NA,NA,NA,"2024-04-12 14:28:07.041 +0200",NA
861,"88-92 µm",NA,NA,NA,NA,"2024-04-12 14:28:07.041 +0200",NA
862,"92-96 µm",NA,NA,NA,NA,"2024-04-12 14:28:07.041 +0200",NA
863,"44-48 µm",NA,NA,NA,NA,"2024-04-12 14:28:07.041 +0200",NA
864,"64-68 µm",NA,NA,NA,NA,"2024-04-12 14:28:07.041 +0200",NA
865,"84-88 µm",NA,NA,NA,NA,"2024-04-12 14:28:07.041 +0200",NA
866,">95 µm",NA,NA,NA,NA,"2024-04-12 14:28:07.041 +0200",NA
867,"bract/samara",NA,NA,NA,NA,"2024-04-12 14:28:07.041 +0200",NA
868,"linear dimension",NA,NA,NA,NA,"2024-04-12 14:28:07.041 +0200",NA
869,"residue",NA,NA,NA,NA,"2024-04-12 14:28:07.041 +0200",NA
870,"weight",NA,NA,NA,NA,"2024-04-12 14:28:07.041 +0200",NA
871,"150-500 μm",NA,NA,NA,NA,"2024-04-12 14:28:07.041 +0200",NA
872,"seed/seed wing; fragment",NA,NA,7,NA,"2024-04-12 14:28:07.041 +0200",NA
873,"500-1180 μm",NA,NA,NA,NA,"2024-04-12 14:28:07.041 +0200",NA
874,"cone",NA,NA,NA,NA,"2024-04-12 14:28:07.041 +0200",NA
875,"hoof",NA,NA,NA,NA,"2024-04-12 14:28:07.041 +0200",NA
876,"150-425 μm",NA,NA,NA,NA,"2024-04-12 14:28:07.041 +0200",NA
877,"425-1180 μm",NA,NA,NA,NA,"2024-04-12 14:28:07.041 +0200",NA
878,"cone scale bract",NA,NA,NA,NA,"2024-04-12 14:28:07.041 +0200",NA
879,"50-500 µm",NA,NA,NA,NA,"2024-04-12 14:28:07.041 +0200",NA
880,"frond",NA,NA,NA,NA,"2024-04-12 14:28:07.041 +0200",NA
881,"50-125 µm",NA,NA,NA,NA,"2024-04-12 14:28:07.041 +0200",NA
882,"grain",NA,NA,NA,NA,"2024-04-12 14:28:07.041 +0200",NA
883,"trichosclereid",NA,NA,NA,NA,"2024-04-12 14:28:07.041 +0200",NA
884,"<10 µm",NA,NA,NA,NA,"2024-04-12 14:28:07.041 +0200",NA
885,"dermal ossicle",NA,NA,NA,NA,"2024-04-12 14:28:07.041 +0200",NA
886,"charred epidermis",NA,NA,NA,NA,"2024-04-12 14:28:07.041 +0200",NA
887,"root hair",NA,NA,NA,NA,"2024-04-12 14:28:07.041 +0200",NA
888,"root yellowish cells",NA,NA,NA,NA,"2024-04-12 14:28:07.041 +0200",NA
889,"<180 µm",NA,NA,NA,NA,"2024-04-12 14:28:07.041 +0200",NA
890,"leaf scale",NA,NA,NA,NA,"2024-04-12 14:28:07.041 +0200",NA
891,"needle; middle",NA,NA,58,NA,"2024-04-12 14:28:07.041 +0200",NA
892,"< 10 µm",NA,NA,NA,NA,"2024-04-12 14:28:07.041 +0200",NA
893,"filament",NA,NA,NA,NA,"2024-04-12 14:28:07.041 +0200",NA
894,"catkin scale, female",NA,NA,NA,NA,"2024-04-12 14:28:07.041 +0200",NA
895,"charcoal",NA,NA,NA,NA,"2024-04-12 14:28:07.041 +0200",NA
896,"leaf/leaf fragment",NA,NA,NA,NA,"2024-04-12 14:28:07.041 +0200",NA
897,"water mass %",NA,NA,NA,NA,"2024-04-12 14:28:07.041 +0200",NA
898,"plant",NA,NA,NA,NA,"2024-04-12 14:28:07.041 +0200",NA
899,"decomposition",NA,NA,NA,NA,"2024-04-12 14:28:07.041 +0200",NA
900,"soil",NA,NA,NA,NA,"2024-04-12 14:28:07.041 +0200",NA
901,"stone",NA,NA,NA,NA,"2024-04-12 14:28:07.041 +0200",NA
902,"faecal pellet",NA,NA,NA,NA,"2024-04-12 14:28:07.041 +0200",NA
903,"macroremains",NA,NA,NA,NA,"2024-04-12 14:28:07.041 +0200",NA
904,"dry specific gravity",NA,NA,NA,NA,"2024-04-12 14:28:07.041 +0200",NA
905,"wet specific gravity",NA,NA,NA,NA,"2024-04-12 14:28:07.041 +0200",NA
906,"518 nm light transmission",NA,NA,NA,NA,"2024-04-12 14:28:07.041 +0200",NA
907,"dry specific weight",NA,NA,NA,NA,"2024-04-12 14:28:07.041 +0200",NA
908,"branch periderm",NA,NA,NA,NA,"2024-04-12 14:28:07.041 +0200",NA
909,"bud (unripe)",NA,NA,NA,NA,"2024-04-12 14:28:07.041 +0200",NA
910,"bud (young)",NA,NA,NA,NA,"2024-04-12 14:28:07.041 +0200",NA
911,"budscale",NA,NA,NA,NA,"2024-04-12 14:28:07.041 +0200",NA
912,"carapax",NA,NA,NA,NA,"2024-04-12 14:28:07.041 +0200",NA
913,"cf. budscale",NA,NA,NA,NA,"2024-04-12 14:28:07.041 +0200",NA
914,"cf. stem",NA,NA,NA,NA,"2024-04-12 14:28:07.041 +0200",NA
915,"fragment (black)",NA,NA,NA,NA,"2024-04-12 14:28:07.041 +0200",NA
916,"fragment (brown)",NA,NA,NA,NA,"2024-04-12 14:28:07.041 +0200",NA
917,"fragment (forked)",NA,NA,NA,NA,"2024-04-12 14:28:07.041 +0200",NA
918,"leaf callus",NA,NA,NA,NA,"2024-04-12 14:28:07.041 +0200",NA
919,"leaf sheath",NA,NA,NA,NA,"2024-04-12 14:28:07.041 +0200",NA
920,"needle base",NA,NA,NA,NA,"2024-04-12 14:28:07.041 +0200",NA
921,"seed (brown)",NA,NA,NA,NA,"2024-04-12 14:28:07.041 +0200",NA
922,"spine/mandible",NA,NA,NA,NA,"2024-04-12 14:28:07.041 +0200",NA
923,"fibre",NA,NA,NA,NA,"2024-04-12 14:28:07.041 +0200",NA
924,"wood fragment (large)",NA,NA,NA,NA,"2024-04-12 14:28:07.041 +0200",NA
925,"wood fragment (small)",NA,NA,NA,NA,"2024-04-12 14:28:07.041 +0200",NA
926,"tooth, first molar",NA,NA,NA,NA,"2024-04-12 14:28:07.041 +0200",NA
927,"yr/cm",NA,NA,NA,NA,"2024-04-12 14:28:07.041 +0200",NA
928,"flux",NA,NA,NA,NA,"2024-04-12 14:28:07.041 +0200",NA
929,"0-50 µm",NA,NA,NA,NA,"2024-04-12 14:28:07.041 +0200",NA
930,"DNA Sequence",NA,NA,NA,NA,"2024-04-12 14:28:07.041 +0200",NA
931,"10-25 µm",NA,NA,NA,NA,"2024-04-12 14:28:07.041 +0200",NA
932,"pollen/cm²/yr",NA,NA,NA,NA,"2024-04-12 14:28:07.041 +0200",NA
933,"grains/cm²/yr",NA,NA,NA,NA,"2024-04-12 14:28:07.041 +0200",NA
934,"head, left elytron, right elytron",NA,NA,NA,NA,"2024-04-12 14:28:07.041 +0200",NA
935,"head, pronotum",NA,NA,NA,NA,"2024-04-12 14:28:07.041 +0200",NA
936,"head, pronotum, left elytron, right elytron",NA,NA,NA,NA,"2024-04-12 14:28:07.041 +0200",NA
937,"head, right elytron",NA,NA,NA,NA,"2024-04-12 14:28:07.041 +0200",NA
938,"left elytron",NA,NA,NA,NA,"2024-04-12 14:28:07.041 +0200",NA
939,"left elytron, right elytron",NA,NA,NA,NA,"2024-04-12 14:28:07.041 +0200",NA
940,"pronotum, left elytron, right elytron",NA,NA,NA,NA,"2024-04-12 14:28:07.041 +0200",NA
941,"right elytron",NA,NA,NA,NA,"2024-04-12 14:28:07.041 +0200",NA
942,"150-250 µm",NA,NA,NA,NA,"2024-04-12 14:28:07.041 +0200",NA
943,"250-500 µm",NA,NA,NA,NA,"2024-04-12 14:28:07.041 +0200",NA
944,"cephalothoraces",NA,NA,NA,NA,"2024-04-12 14:28:07.041 +0200",NA
945,"elytra",NA,NA,NA,NA,"2024-04-12 14:28:07.041 +0200",NA
946,"head, elytra",NA,NA,NA,NA,"2024-04-12 14:28:07.041 +0200",NA
947,"head, elytron",NA,NA,NA,NA,"2024-04-12 14:28:07.041 +0200",NA
948,"head, pronotum, elytra",NA,NA,NA,NA,"2024-04-12 14:28:07.041 +0200",NA
949,"head, pronotum, elytron",NA,NA,NA,NA,"2024-04-12 14:28:07.041 +0200",NA
950,"pronotum, elytra",NA,NA,NA,NA,"2024-04-12 14:28:07.041 +0200",NA
951,"pronotum, elytron",NA,NA,NA,NA,"2024-04-12 14:28:07.041 +0200",NA
952,"head, pronota, elytra",NA,NA,NA,NA,"2024-04-12 14:28:07.041 +0200",NA
953,"250-500 μm",NA,NA,NA,NA,"2024-04-12 14:28:07.041 +0200",NA
954,"bark and cone scale fragments",NA,NA,NA,NA,"2024-04-12 14:28:07.041 +0200",NA
955,"branchlet with leaf scars",NA,NA,NA,NA,"2024-04-12 14:28:07.041 +0200",NA
956,"bud scales and anthers",NA,NA,NA,NA,"2024-04-12 14:28:07.041 +0200",NA
957,"female catkin scale",NA,NA,NA,NA,"2024-04-12 14:28:07.041 +0200",NA
958,"female cone scale",NA,NA,NA,NA,"2024-04-12 14:28:07.041 +0200",NA
959,"leaf fragment",NA,NA,NA,NA,"2024-04-12 14:28:07.041 +0200",NA
960,"male cone",NA,NA,NA,NA,"2024-04-12 14:28:07.041 +0200",NA
961,"needle cushion",NA,NA,NA,NA,"2024-04-12 14:28:07.041 +0200",NA
962,"nut scale",NA,NA,NA,NA,"2024-04-12 14:28:07.041 +0200",NA
963,"short-shoot",NA,NA,NA,NA,"2024-04-12 14:28:07.041 +0200",NA
964,"pronotum, left elytron",NA,NA,NA,NA,"2024-04-12 14:28:07.041 +0200",NA
965,"pronotum, right elytron",NA,NA,NA,NA,"2024-04-12 14:28:07.041 +0200",NA
966,"head, pronotum, right elytron",NA,NA,NA,NA,"2024-04-12 14:28:07.041 +0200",NA
967,"mandibles",NA,NA,NA,NA,"2024-04-12 14:28:07.041 +0200",NA
968,"head, left elytron",NA,NA,NA,NA,"2024-04-12 14:28:07.041 +0200",NA
969,"head, pronotum, left elytron",NA,NA,NA,NA,"2024-04-12 14:28:07.041 +0200",NA
970,"insects and feathers",NA,NA,NA,NA,"2024-04-12 14:28:07.041 +0200",NA
971,"jaw",NA,NA,NA,NA,"2024-04-12 14:28:07.041 +0200",NA
972,"tooth, premolar",NA,NA,NA,NA,"2024-04-12 14:28:07.041 +0200",NA
973,"uncertainty conc",NA,NA,NA,NA,"2024-04-12 14:28:07.041 +0200",NA
974,"spherules",NA,NA,NA,NA,"2024-04-12 14:28:07.041 +0200",NA
975,"concentration error",NA,NA,NA,NA,"2024-04-12 14:28:07.041 +0200",NA
976,"trnL p6-loop",NA,NA,NA,NA,"2024-04-12 14:28:07.041 +0200",NA
977,"added",NA,NA,NA,NA,"2024-04-12 14:28:07.041 +0200",NA
978,"clump",NA,NA,NA,NA,"2024-04-12 14:28:07.041 +0200",NA
979,"tetrad",NA,NA,NA,NA,"2024-04-12 14:28:07.041 +0200",NA
980,"remains",NA,NA,NA,NA,"2024-04-12 14:28:07.041 +0200",NA
